model_id,objective,alpha,top1_match,top1_ci_low,top1_ci_high,kl_teacher_student_t1,kl_teacher_student_t2,kl_student_teacher_t1,teacher_ppl,student_ppl,top10_overlap,same_wrong_given_teacher_error,greedy_token_match,teacher_path_kl,student_path_kl,qwen_project_criteria_pass,linear_probe_raw_cross_accuracy_mean,linear_probe_separate_accuracy_mean,linear_probe_aligned_cross_accuracy_mean,attention_same_index_mean,attention_same_index_min,attention_same_index_low_count,attention_hungarian_mean
hard_a0.05,hard_teacher_ce,0.05,0.8691176470588236,0.8563725490196079,0.879656862745098,2.4899066333677253,3.2201231030856863,0.7171361916789821,14.461196582414843,158.99319963295196,0.7879411875032911,0.8209796272214998,0.283203125,2.1797280069440603,2.2356086587533355,False,0.36933332681655884,0.3915000061194102,0.3765000104904175,0.9946499767007904,0.9099428613590679,0,0.9946499767007904
hard_a0.1,hard_teacher_ce,0.1,0.8262254901960784,0.8100428921568628,0.8416727941176471,2.1885891100939583,2.663682441617928,0.7150297109987221,14.461196582414843,118.01060645671566,0.7694607968423881,0.7641959254442999,0.14453125,1.953767428174615,2.2300033941864967,False,0.3572499950726827,0.40274999539057416,0.3650833268960317,0.9889389382490607,0.9374281959090885,0,0.9889389382490607
hard_a0.2,hard_teacher_ce,0.2,0.7183823529411766,0.6980392156862745,0.7379901960784314,1.5791237630096135,1.0366923596344741,0.7661633566314099,14.461196582414843,65.70223007055229,0.6777205934711531,0.6402254009536195,0.126953125,1.4266422716900706,1.5649691857397556,False,0.34016666809717816,0.4017500082651774,0.3399166564146678,0.9666620655892155,0.8124608303944869,0,0.9666620655892155
hard_a0.35,hard_teacher_ce,0.35,0.5343137254901962,0.5149509803921569,0.5522058823529412,1.536377131471447,0.7557796183754416,1.2466639320055644,14.461196582414843,64.4594893020932,0.5362009870071037,0.4542696142175986,0.12109375,1.3664234271273017,1.4226351771503687,False,0.3034166693687439,0.38850000500679016,0.3002500037352244,0.9167688657054506,0.5959674469278079,0,0.9167688657054506
hard_a0.5,hard_teacher_ce,0.5,0.3683823529411765,0.35318627450980394,0.38309436274509795,2.417039448607202,1.1712861292502459,2.483952301156287,14.461196582414843,161.03433590303135,0.3930637295923981,0.32249674902470743,0.052734375,2.2842865735292435,1.657158532179892,False,0.25191666682561237,0.3309166729450226,0.2619166672229767,0.8168423590099421,0.12961339921397377,8,0.8192824161766125
soft_a0.05,soft_kd,0.05,0.8906862745098039,0.8759803921568627,0.9044117647058824,0.036847615011912936,0.021758869578879254,0.03735150555696558,14.461196582414843,14.836640168770677,0.8971323810371699,0.846553966189857,0.30078125,0.03142247753567062,0.03175595012726262,False,0.3763333360354106,0.39791666467984516,0.38241666555404663,0.9960513707949674,0.9750574091289554,0,0.9960513707949674
soft_a0.1,soft_kd,0.1,0.8416666666666666,0.8267156862745098,0.8558823529411765,0.09309745894051066,0.06286118191246894,0.09529768986737026,14.461196582414843,15.628231597985016,0.8402451155232448,0.7832683138274816,0.2109375,0.0799323417013511,0.0785567713319324,False,0.3605000078678131,0.3988333245118459,0.3711666663487752,0.9903025858309302,0.95638000270625,0,0.9903025858309302
soft_a0.2,soft_kd,0.2,0.7051470588235293,0.6850428921568628,0.7242647058823529,0.3270428811218224,0.23699771066506703,0.3410000705251507,14.461196582414843,19.711960594249888,0.7223529525831633,0.623753792804508,0.138671875,0.2728422686923295,0.2716489131562412,False,0.34441666801770526,0.4096666673819224,0.35083333651224774,0.9684635598172477,0.8206239491000151,0,0.9684635598172477
soft_a0.35,soft_kd,0.35,0.5120098039215686,0.49313725490196075,0.5286764705882353,0.9553961911622215,0.5779775732872532,1.088000877347647,14.461196582414843,36.95389935622328,0.5638480471629723,0.42912873862158646,0.07421875,0.8398540066555142,0.777906849514693,False,0.30358333388964337,0.3868333399295807,0.30174999435742694,0.9185770523145868,0.6013955046799253,0,0.9185770523145868
soft_a0.5,soft_kd,0.5,0.3299019607843138,0.31224877450980393,0.34780024509803914,2.184378112531176,1.0273050111882824,2.505108694936715,14.461196582414843,130.6308537337458,0.40193627932492426,0.28998699609882966,0.0390625,2.1909506171941757,1.4469231478869915,False,0.2401666740576426,0.34375,0.260083332657814,0.800805508404845,0.14448702377553801,15,0.8051528785342379
